t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
1.46,1500.0,1500.0004287660904,157.07967757976965,314.5152184465944,4.999999958256714,0.155472148830769,5.0,0.15547208206991772,0.15547208206991772,0.0,0.15707969169251562,0.0,1.9821433596298812,112.19231519159138,0.34650003173323257,1.0
1.461,1500.0,1500.000428772373,157.07967758042756,314.5152184408941,4.9999999587338495,0.15547214559209335,5.0,0.1554720796421309,0.1554720796421309,0.0,0.15707969153578613,0.0,1.982143437472588,112.19231507296666,0.34650003134638135,1.0
1.462,1500.0,1500.0004287785855,157.07967758107813,314.51521843525836,4.999999959205519,0.1554721423901609,5.0,0.15547207724127424,0.15547207724127424,0.0,0.15707969138084205,0.0,1.9821435144253057,112.19231495578174,0.34650003096422693,1.0
1.463,1500.0,1500.0004287847287,157.07967758172146,314.51521842968646,4.99999995967176,0.15547213922451963,5.0,0.15547207486701445,0.15547207486701445,0.0,0.1570796912276275,0.0,1.9821435904997133,112.19231484001908,0.3465000305867123,1.0
1.464,1500.0,1500.0004287908032,157.07967758235756,314.51521842417753,4.99999996013272,0.1554721360947578,5.0,0.15547207251905518,0.15547207251905518,0.0,0.1570796910761227,0.0,1.9821436657046254,112.19231472566153,0.3465000302137815,1.0
1.465,1500.0,1500.0004287968102,157.07967758298662,314.51521841873125,4.999999960588412,0.15547213300054386,5.0,0.15547207019718495,0.15547207019718495,0.0,0.15707969092638452,0.0,1.9821437400503694,112.19231461269223,0.34650002984537903,1.0
1.466,1500.0,1500.0004288027499,157.07967758360863,314.5152184133464,4.999999961038885,0.1554721299413629,5.0,0.1554720679009967,0.1554720679009967,0.0,0.15707969077827996,0.0,1.9821438135466176,112.19231450109415,0.34650002948145003,1.0
1.467,1500.0,1500.0004288086238,157.07967758422373,314.5152184080228,4.999999961484176,0.1554721269169002,5.0,0.15547206563029217,0.15547206563029217,0.0,0.15707969063187416,0.0,1.9821438862034269,112.19231439085088,0.3465000291219405,1.0
1.468,1500.0,1500.0004288144328,157.07967758483204,314.5152184027594,4.999999961924408,0.15547212392667334,5.0,0.15547206338470146,0.15547206338470146,0.0,0.15707969048705808,0.0,1.982143958029729,112.19231428194603,0.34650002876679686,1.0
1.469,1500.0,1500.0004288201765,157.07967758543353,314.51521839755526,4.999999962359607,0.15547212097022076,5.0,0.155472061163868,0.155472061163868,0.0,0.15707969034373995,0.0,1.9821440290357428,112.19231417436316,0.3465000284159663,1.0
1.47,1500.0,1500.000428825856,157.07967758602828,314.51521839240996,4.999999962789833,0.15547211804726396,5.0,0.15547205896762412,0.15547205896762412,0.0,0.15707969020200835,0.0,1.9821440992308472,112.19231406808639,0.3465000280693966,1.0
1.471,1500.0,1500.0004288314715,157.07967758661636,314.51521838732293,4.999999963215136,0.15547211515748174,5.0,0.15547205679575538,0.15547205679575538,0.0,0.1570796900619045,0.0,1.9821441686232322,112.19231396310002,0.3465000277270363,1.0
1.472,1500.0,1500.0004288370253,157.07967758719792,314.5152183822938,4.999999963635578,0.15547211230055832,5.0,0.1554720546480602,0.1554720546480602,0.0,0.15707968992347116,0.0,1.982144237223523,112.19231385938858,0.34650002738883445,1.0
1.473,1500.0,1500.0004288425166,157.07967758777298,314.5152183773215,4.999999964051221,0.1554721094759849,5.0,0.15547205252412563,0.15547205252412563,0.0,0.15707968978655185,0.0,1.9821443050394074,112.19231375693646,0.34650002705474064,1.0
1.474,1500.0,1500.000428847947,157.07967758834167,314.5152183724056,4.999999964462101,0.15547210668344918,5.0,0.1554720504237467,0.1554720504237467,0.0,0.1570796896511846,0.0,1.982144372081073,112.19231365572846,0.3465000267247052,1.0
1.475,1500.0,1500.000428853317,157.079677588904,314.51521836754523,4.999999964868305,0.15547210392250096,5.0,0.1554720483465743,0.1554720483465743,0.0,0.1570796895172641,0.0,1.982144438356883,112.19231355574941,0.346500026398679,1.0
1.476,1500.0,1500.0004288586274,157.0796775894601,314.5152183627399,4.999999965269834,0.15547210119285113,5.0,0.15547204629241992,0.15547204629241992,0.0,0.15707968938484385,0.0,1.9821445038750756,112.1923134569846,0.34650002607661357,1.0
1.477,1500.0,1500.000428863878,157.07967759000994,314.5152183579888,4.999999965666796,0.15547209849406862,5.0,0.15547204426095468,0.15547204426095468,0.0,0.15707968925383006,0.0,1.982144568644971,112.1923133594192,0.34650002575846106,1.0
